0 0
1.5 0
3 0
4.5 0
6 0
7.5 0
9 0
10.5 0
12 0
13.5 0
15 0
16.5 0
18 0
19.5 0
21 0
22.5 0
24 0
25.5 0
27 0
28.5 0
30 0
31.5 0
33 0
34.5 0
36 0
37.5 0
39 0
40.5 0
0 1.5
1.5 1.5
3 1.5
4.5 1.5
6 1.5
7.5 1.5
9 1.5
10.5 1.5
12 1.5
13.5 1.5
15 1.5
16.5 1.5
18 1.5
19.5 1.5
21 1.5
22.5 1.5
24 1.5
25.5 1.5
27 1.5
28.5 1.5
30 1.5
31.5 1.5
33 1.5
34.5 1.5
36 1.5
37.5 1.5
39 1.5
40.5 1.5
0 3
1.5 3
3 3
4.5 3
6 3
7.5 3
9 3
10.5 3
12 3
13.5 3
15 3
16.5 3
18 3
19.5 3
21 3
22.5 3
24 3
25.5 3
27 3
28.5 3
30 3
31.5 3
33 3
34.5 3
36 3
37.5 3
39 3
40.5 3
0 4.5
1.5 4.5
3 4.5
4.5 4.5
6 4.5
7.5 4.5
9 4.5
10.5 4.5
12 4.5
13.5 4.5
15 4.5
16.5 4.5
18 4.5
19.5 4.5
21 4.5
22.5 4.5
24 4.5
25.5 4.5
27 4.5
28.5 4.5
30 4.5
31.5 4.5
33 4.5
34.5 4.5
36 4.5
37.5 4.5
39 4.5
40.5 4.5
0 6
1.5 6
3 6
4.5 6
6 6
7.5 6
9 6
10.5 6
12 6
13.5 6
15 6
16.5 6
18 6
19.5 6
21 6
22.5 6
24 6
25.5 6
27 6
28.5 6
30 6
31.5 6
33 6
34.5 6
36 6
37.5 6
39 6
40.5 6
0 7.5
1.5 7.5
3 7.5
4.5 7.5
6 7.5
7.5 7.5
9 7.5
10.5 7.5
12 7.5
13.5 7.5
15 7.5
16.5 7.5
18 7.5
19.5 7.5
21 7.5
22.5 7.5
24 7.5
25.5 7.5
27 7.5
28.5 7.5
30 7.5
31.5 7.5
33 7.5
34.5 7.5
36 7.5
37.5 7.5
39 7.5
40.5 7.5
0 9
1.5 9
3 9
4.5 9
6 9
7.5 9
9 9
10.5 9
12 9
13.5 9
15 9
16.5 9
18 9
19.5 9
21 9
22.5 9
24 9
25.5 9
27 9
28.5 9
30 9
31.5 9
33 9
34.5 9
36 9
37.5 9
39 9
40.5 9
0 10.5
1.5 10.5
3 10.5
4.5 10.5
6 10.5
7.5 10.5
9 10.5
10.5 10.5
12 10.5
13.5 10.5
15 10.5
16.5 10.5
18 10.5
19.5 10.5
21 10.5
22.5 10.5
24 10.5
25.5 10.5
27 10.5
28.5 10.5
30 10.5
31.5 10.5
33 10.5
